"","Price"
"7/7/2023 0:00","30320.04"
"7/6/2023 0:00","29970.05"
"7/5/2023 0:00","30502.92"
"7/4/2023 0:00","30771.96"
"7/3/2023 0:00","31154.04"
"7/2/2023 0:00","30623.76"
"7/1/2023 0:00","30589.05"
"6/30/2023 0:00","30492.03"
"6/29/2023 0:00","30459.1"
"6/28/2023 0:00","30084.01"
"6/27/2023 0:00","30709.78"
"6/26/2023 0:00","30273.8"
"6/25/2023 0:00","30457.7"
"6/24/2023 0:00","30540.55"
"6/23/2023 0:00","30605.59"
"6/22/2023 0:00","29903.56"
"6/21/2023 0:00","30059.71"
"6/20/2023 0:00","28371.02"
"6/19/2023 0:00","26781.82"
"6/18/2023 0:00","26339.43"
"6/17/2023 0:00","26520.01"
"6/16/2023 0:00","26342.59"
"6/15/2023 0:00","25585.43"
"6/14/2023 0:00","25119.91"
"6/13/2023 0:00","25910.03"
"6/12/2023 0:00","25887.59"
"6/11/2023 0:00","25920.86"
"6/10/2023 0:00","25842.84"
"6/9/2023 0:00","26489.46"
"6/8/2023 0:00","26493.46"
"6/7/2023 0:00","26359.59"
"6/6/2023 0:00","27200.04"
"6/5/2023 0:00","25730.52"
"6/4/2023 0:00","27104.41"
"6/3/2023 0:00","27060.8"
"6/2/2023 0:00","27232.85"
"6/1/2023 0:00","26806.98"
"5/31/2023 0:00","27225.77"
"5/30/2023 0:00","27682.8"
"5/29/2023 0:00","27742.37"
"5/28/2023 0:00","28100.31"
"5/27/2023 0:00","26850.79"
"5/26/2023 0:00","26703.21"
"5/25/2023 0:00","26474.02"
"5/24/2023 0:00","26336.63"
"5/23/2023 0:00","27222.75"
"5/22/2023 0:00","26851.39"
"5/21/2023 0:00","26751.47"
"5/20/2023 0:00","27110.53"
"5/19/2023 0:00","26866.88"
"5/18/2023 0:00","26837.94"
"5/17/2023 0:00","27402.68"
"5/16/2023 0:00","27025.77"
"5/15/2023 0:00","27192.17"
"5/14/2023 0:00","26906.17"
"5/13/2023 0:00","26789.06"
"5/12/2023 0:00","26791.96"
"5/11/2023 0:00","27002.28"
"5/10/2023 0:00","27624.54"
"5/9/2023 0:00","27636.66"
"5/8/2023 0:00","27692.99"
"5/7/2023 0:00","28443.05"
"5/6/2023 0:00","28864.28"
"5/5/2023 0:00","29529.67"
"5/4/2023 0:00","28820.66"
"5/3/2023 0:00","28998.8"
"5/2/2023 0:00","28639.58"
"5/1/2023 0:00","28084.46"
"4/30/2023 0:00","29310.54"
"4/29/2023 0:00","29216.77"
"4/28/2023 0:00","29327.11"
"4/27/2023 0:00","29467.27"
"4/26/2023 0:00","28376.59"
"4/25/2023 0:00","28326.83"
"4/24/2023 0:00","27529.2"
"4/23/2023 0:00","27588.57"
"4/22/2023 0:00","27820.65"
"4/21/2023 0:00","27274.5"
"4/20/2023 0:00","28267.17"
"4/19/2023 0:00","28804.98"
"4/18/2023 0:00","30366.57"
"4/17/2023 0:00","29413.96"
"4/16/2023 0:00","30304.87458079287"
"4/15/2023 0:00","30297.83114427585"
"4/14/2023 0:00","30478.2924"
"4/13/2023 0:00","30359.5812"
"4/12/2023 0:00","29877.417735909105"
"4/11/2023 0:00","30230.0732"
"4/10/2023 0:00","29609.8284"
"4/9/2023 0:00","28321.8616"
"4/8/2023 0:00","27934.0372"
"4/7/2023 0:00","27902.2577"
"4/6/2023 0:00","28019.7398"
"4/5/2023 0:00","28176.3891"
"4/4/2023 0:00","28149.6814"
"4/3/2023 0:00","27761.458669183034"
"4/2/2023 0:00","28188.1801"
"4/1/2023 0:00","28464.81401778217"
"3/31/2023 0:00","28467.19662927388"
"3/30/2023 0:00","28031.595199453346"
"3/29/2023 0:00","28370.7692"
"3/28/2023 0:00","27259.2207"
"3/27/2023 0:00","27157.5701"
"3/26/2023 0:00","27983.589033995435"
"3/25/2023 0:00","27464.6126"
"3/24/2023 0:00","27415.93409438389"
"3/23/2023 0:00","28318.2186"
"3/22/2023 0:00","27273.8081"
"3/21/2023 0:00","28119.54921069888"
"3/20/2023 0:00","27688.0737"
"3/19/2023 0:00","27911.812"
"3/18/2023 0:00","26891.627969119265"
"3/17/2023 0:00","27310.1766"
"3/16/2023 0:00","25011.182"
"3/15/2023 0:00","24276.665892428617"
"3/14/2023 0:00","24694.6951"
"3/13/2023 0:00","24063.5624469319"
"3/12/2023 0:00","21952.797807966082"
"3/11/2023 0:00","20494.9368"
"3/10/2023 0:00","20133.73982352463"
"3/9/2023 0:00","20355.8604"
"3/8/2023 0:00","21692.94462722918"
"3/7/2023 0:00","22195.0144"
"3/6/2023 0:00","22409.4946"
"3/5/2023 0:00","22434.9936"
"3/4/2023 0:00","22339.038009541902"
"3/3/2023 0:00","22333.76670186151"
"3/2/2023 0:00","23465.2689"
"3/1/2023 0:00","23659.4001"
"2/28/2023 0:00","23139.076794118864"
"2/27/2023 0:00","23508.264699161653"
"2/26/2023 0:00","23531.2037"
"2/25/2023 0:00","23170.0132"
"2/24/2023 0:00","23197.7565"
"2/23/2023 0:00","23949.1025"
"2/22/2023 0:00","24192.9805"
"2/21/2023 0:00","24426.1719"
"2/20/2023 0:00","24797.2219"
"2/19/2023 0:00","24332.2815"
"2/18/2023 0:00","24644.0369"
"2/17/2023 0:00","24558.3155"
"2/16/2023 0:00","23531.7304"
"2/15/2023 0:00","24324.464026285455"
"2/14/2023 0:00","22200.0306"
"2/13/2023 0:00","21810.9904859392"
"2/12/2023 0:00","21753.753226727626"
"2/11/2023 0:00","21865.7753"
"2/10/2023 0:00","21648.2846"
"2/9/2023 0:00","21799.182107847242"
"2/8/2023 0:00","22949.2132"
"2/7/2023 0:00","23261.2186"
"2/6/2023 0:00","22747.465"
"2/5/2023 0:00","22938.184691051243"
"2/4/2023 0:00","23315.8076"
"2/3/2023 0:00","23429.76"
"2/2/2023 0:00","23484.9488"
"2/1/2023 0:00","23706.0643"
"1/31/2023 0:00","23153.2004"
"1/30/2023 0:00","22814.4792"
"1/29/2023 0:00","23775.9829"
"1/28/2023 0:00","23007.4396"
"1/27/2023 0:00","23051.2708"
"1/26/2023 0:00","23007.8352"
"1/25/2023 0:00","23125.7229"
