,Price
2023/03/22 00:00:00,27273.808
2023/03/21 00:00:00,28119.549
2023/03/20 00:00:00,27688.074
2023/03/19 00:00:00,27911.812
2023/03/18 00:00:00,26891.628
2023/03/17 00:00:00,27310.177
2023/03/16 00:00:00,25011.182
2023/03/15 00:00:00,24276.666
2023/03/14 00:00:00,24694.695
2023/03/13 00:00:00,24063.562
2023/03/12 00:00:00,21952.798
2023/03/11 00:00:00,20494.937
2023/03/10 00:00:00,20133.740
2023/03/09 00:00:00,20355.860
2023/03/08 00:00:00,21692.945
2023/03/07 00:00:00,22195.014
2023/03/06 00:00:00,22409.495
2023/03/05 00:00:00,22434.994
2023/03/04 00:00:00,22339.038
2023/03/03 00:00:00,22333.767
2023/03/02 00:00:00,23465.269
2023/03/01 00:00:00,23659.400
2023/02/28 00:00:00,23139.077
2023/02/27 00:00:00,23508.265
2023/02/26 00:00:00,23531.204
2023/02/25 00:00:00,23170.013
2023/02/24 00:00:00,23197.757
2023/02/23 00:00:00,23949.103
2023/02/22 00:00:00,24192.981
2023/02/21 00:00:00,24426.172
2023/02/20 00:00:00,24797.222
2023/02/19 00:00:00,24332.282
2023/02/18 00:00:00,24644.037
2023/02/17 00:00:00,24558.316
2023/02/16 00:00:00,23531.730
2023/02/15 00:00:00,24324.464
2023/02/14 00:00:00,22200.031
2023/02/13 00:00:00,21810.990
2023/02/12 00:00:00,21753.753
2023/02/11 00:00:00,21865.775
2023/02/10 00:00:00,21648.285
2023/02/09 00:00:00,21799.182
2023/02/08 00:00:00,22949.213
2023/02/07 00:00:00,23261.219
2023/02/06 00:00:00,22747.465
2023/02/05 00:00:00,22938.185
2023/02/04 00:00:00,23315.808
2023/02/03 00:00:00,23429.760
2023/02/02 00:00:00,23484.949
2023/02/01 00:00:00,23706.064
2023/01/31 00:00:00,23153.200
2023/01/30 00:00:00,22814.479
2023/01/29 00:00:00,23775.983
2023/01/28 00:00:00,23007.440
2023/01/27 00:00:00,23051.271
2023/01/26 00:00:00,23007.835
2023/01/25 00:00:00,23125.723
2023/01/24 00:00:00,22614.658
2023/01/23 00:00:00,22944.920
2023/01/22 00:00:00,22723.953
2023/01/21 00:00:00,22751.607
2023/01/20 00:00:00,22665.751
2023/01/19 00:00:00,21082.058
2023/01/18 00:00:00,20686.510
2023/01/17 00:00:00,21157.190
2023/01/16 00:00:00,21171.048
2023/01/15 00:00:00,20856.058
2023/01/14 00:00:00,20983.976
2023/01/13 00:00:00,19913.729
2023/01/12 00:00:00,18858.665
2023/01/11 00:00:00,17939.362
2023/01/10 00:00:00,17435.752
2023/01/09 00:00:00,17194.779
2023/01/08 00:00:00,17070.575
2023/01/07 00:00:00,16944.540
2023/01/06 00:00:00,16953.972
2023/01/05 00:00:00,16828.846
2023/01/04 00:00:00,16857.283
2023/01/03 00:00:00,16675.909
2023/01/02 00:00:00,16677.450
2023/01/01 00:00:00,16607.069
2022/12/31 00:00:00,16538.348
2022/12/30 00:00:00,16603.752
2022/12/29 00:00:00,16641.445
2022/12/28 00:00:00,16549.983
2022/12/27 00:00:00,16706.460
2022/12/26 00:00:00,16908.948
2022/12/25 00:00:00,16829.918
2022/12/24 00:00:00,16833.882
2022/12/23 00:00:00,16780.464
2022/12/22 00:00:00,16822.062
2022/12/21 00:00:00,16806.416
2022/12/20 00:00:00,16902.542
2022/12/19 00:00:00,16424.797
2022/12/18 00:00:00,16750.766
2022/12/17 00:00:00,16785.892
2022/12/16 00:00:00,16608.493
2022/12/15 00:00:00,17339.458
2022/12/14 00:00:00,17799.169
2022/12/13 00:00:00,17766.351
2022/12/12 00:00:00,17220.815
2022/12/11 00:00:00,17091.917
2022/12/10 00:00:00,17114.341
2022/12/09 00:00:00,17123.387
2022/12/08 00:00:00,17254.842
2022/12/07 00:00:00,16838.047
2022/12/06 00:00:00,17088.376
2022/12/05 00:00:00,16959.336
2022/12/04 00:00:00,17130.165
2022/12/03 00:00:00,16903.724
2022/12/02 00:00:00,17088.427
